professor_id,professor_name,professor_name,professor_name,email,office_days
3415203220,Raphael Trevino,RaphaelTrevino,raphaeltrevino,raphaeltrevino@northeastern.edu,FRIDAY
3225843229,Berton Ault,BertonAult,bertonault,bertonault@northeastern.edu,THURSDAY
7013272868,Marty Orry,MartyOrry,martyorry,martyorry@northeastern.edu,WEDNESDAY
3388861145,Stanley Brymham,StanleyBrymham,stanleybrymham,stanleybrymham@northeastern.edu,WEDNESDAY
275400026,Dylan Mixter,DylanMixter,dylanmixter,dylanmixter@northeastern.edu,WEDNESDAY
3531059394,Trenna Trayte,TrennaTrayte,trennatrayte,trennatrayte@northeastern.edu,WEDNESDAY
9511468944,Rosa Collington,RosaCollington,rosacollington,rosacollington@northeastern.edu,WEDNESDAY
6070972627,Janeczka Sheivels,JaneczkaSheivels,janeczkasheivels,janeczkasheivels@northeastern.edu,THURSDAY
16232607,Betsey Woodburne,BetseyWoodburne,betseywoodburne,betseywoodburne@northeastern.edu,MONDAY
9834454287,Cos Berre,CosBerre,cosberre,cosberre@northeastern.edu,THURSDAY
7848665186,Willdon Okill,WilldonOkill,willdonokill,willdonokill@northeastern.edu,MONDAY
3832977783,Chrisy Cabble,ChrisyCabble,chrisycabble,chrisycabble@northeastern.edu,TUESDAY
5220563939,Frieda Gillison,FriedaGillison,friedagillison,friedagillison@northeastern.edu,TUESDAY
3313602649,Cliff Bilsborrow,CliffBilsborrow,cliffbilsborrow,cliffbilsborrow@northeastern.edu,WEDNESDAY
3805112866,Rikki Yard,RikkiYard,rikkiyard,rikkiyard@northeastern.edu,MONDAY
677188250,Gardner Dehm,GardnerDehm,gardnerdehm,gardnerdehm@northeastern.edu,THURSDAY
7068591094,Odessa Parradice,OdessaParradice,odessaparradice,odessaparradice@northeastern.edu,WEDNESDAY
9035706420,Shaughn Bridgen,ShaughnBridgen,shaughnbridgen,shaughnbridgen@northeastern.edu,TUESDAY
1525051121,Martica Jurges,MarticaJurges,marticajurges,marticajurges@northeastern.edu,MONDAY
2036460593,Gibbie Fanti,GibbieFanti,gibbiefanti,gibbiefanti@northeastern.edu,WEDNESDAY
7167910066,Cazzie Meco,CazzieMeco,cazziemeco,cazziemeco@northeastern.edu,WEDNESDAY
2491473186,Emlyn Durnford,EmlynDurnford,emlyndurnford,emlyndurnford@northeastern.edu,THURSDAY
2395915904,Shawna Bruntjen,ShawnaBruntjen,shawnabruntjen,shawnabruntjen@northeastern.edu,FRIDAY
8013565963,Stacy Decaze,StacyDecaze,stacydecaze,stacydecaze@northeastern.edu,THURSDAY
4420446307,Patten McParland,PattenMcParland,pattenmcparland,pattenmcparland@northeastern.edu,MONDAY
7823386437,Rasla Mawhinney,RaslaMawhinney,raslamawhinney,raslamawhinney@northeastern.edu,TUESDAY
1578029481,Alidia Goodings,AlidiaGoodings,alidiagoodings,alidiagoodings@northeastern.edu,THURSDAY
3154755055,Lacy Roizin,LacyRoizin,lacyroizin,lacyroizin@northeastern.edu,FRIDAY
7102050348,Alicia Basten,AliciaBasten,aliciabasten,aliciabasten@northeastern.edu,MONDAY
1188705253,Remy Wims,RemyWims,remywims,remywims@northeastern.edu,TUESDAY
3433485003,Tymothy Real,TymothyReal,tymothyreal,tymothyreal@northeastern.edu,MONDAY
4908598088,Diandra Broose,DiandraBroose,diandrabroose,diandrabroose@northeastern.edu,TUESDAY
8298839773,Any Hanning,AnyHanning,anyhanning,anyhanning@northeastern.edu,FRIDAY
6926103895,Ellary Lamberton,EllaryLamberton,ellarylamberton,ellarylamberton@northeastern.edu,THURSDAY
7824190501,Ania Sterke,AniaSterke,aniasterke,aniasterke@northeastern.edu,THURSDAY
24137197,Konstanze Ratcliff,KonstanzeRatcliff,konstanzeratcliff,konstanzeratcliff@northeastern.edu,FRIDAY
5733439254,Allard Goulthorp,AllardGoulthorp,allardgoulthorp,allardgoulthorp@northeastern.edu,WEDNESDAY
2476197645,Jay Schenkel,JaySchenkel,jayschenkel,jayschenkel@northeastern.edu,MONDAY
9019896164,Alleen Dudin,AlleenDudin,alleendudin,alleendudin@northeastern.edu,FRIDAY
2603103164,Dacey Louden,DaceyLouden,daceylouden,daceylouden@northeastern.edu,WEDNESDAY
